# 4pts measurement, sourcing 50 µA
# index	time	T_plat(K)	T_samp(K)	V(V)
143	164.464	5.351	5.397	1.446092e-05
144	165.609	5.375	5.413	1.403418e-05
145	166.753	5.375	5.413	1.365485e-05
146	167.9	5.401	5.424	1.453206e-05
147	169.046	5.401	5.424	1.468614e-05
148	170.193	5.421	5.443	1.424753e-05
149	171.342	5.421	5.443	1.424753e-05
150	172.487	5.435	5.469	1.444909e-05
151	173.63	5.435	5.469	1.491137e-05
152	174.776	5.446	5.493	1.446089e-05
153	175.919	5.446	5.493	1.44016e-05
154	177.062	5.465	5.486	1.486396e-05
155	178.204	5.465	5.486	1.437795e-05
156	179.351	5.491	5.519	1.421198e-05
157	180.498	5.491	5.519	1.411714e-05
158	181.659	5.514	5.534	1.44253e-05
159	182.805	5.514	5.534	1.385633e-05
160	183.949	5.529	5.556	1.420015e-05
161	185.091	5.529	5.556	1.459126e-05
162	186.235	5.555	5.584	1.43068e-05
163	187.38	5.555	5.584	1.462687e-05
164	188.524	5.574	5.606	1.379709e-05
165	189.67	5.574	5.606	1.416454e-05
166	190.811	5.588	5.62	1.436609e-05
167	191.958	5.588	5.62	1.456758e-05
168	193.103	5.604	5.632	1.417642e-05
169	194.248	5.604	5.632	1.444907e-05
170	195.393	5.631	5.656	1.398672e-05
171	196.552	5.631	5.656	1.442531e-05
172	197.699	5.658	5.684	1.416457e-05
173	198.843	5.658	5.684	1.417637e-05
174	199.99	5.674	5.706	1.406971e-05
175	201.135	5.674	5.706	1.461502e-05
176	202.279	5.686	5.701	1.371404e-05
177	203.427	5.686	5.701	1.453202e-05
178	204.573	5.702	5.731	1.376152e-05
179	205.718	5.702	5.731	1.469798e-05
180	206.862	5.725	5.75	1.43898e-05
181	208.005	5.725	5.75	1.4615e-05
182	209.151	5.751	5.777	1.429496e-05
183	210.295	5.751	5.777	1.421198e-05
184	211.441	5.77	5.8	1.34296e-05
185	212.588	5.77	5.8	1.470979e-05
186	213.733	5.784	5.816	1.442534e-05
187	214.879	5.784	5.816	1.454388e-05
188	216.023	5.799	5.829	1.457945e-05
189	217.166	5.799	5.829	1.403417e-05
190	218.317	5.82	5.845	1.448462e-05
191	219.462	5.82	5.845	1.43542e-05
192	220.605	5.846	5.871	1.461501e-05
193	221.751	5.846	5.871	1.488763e-05
194	222.893	5.872	5.899	1.408154e-05
195	224.04	5.872	5.899	1.46387e-05
196	225.187	5.891	5.922	1.472166e-05
197	226.333	5.891	5.922	1.40934e-05
198	227.481	5.905	5.935	1.4212e-05
199	228.628	5.905	5.935	1.420008e-05
200	229.774	5.923	5.951	1.418823e-05
201	230.921	5.923	5.951	1.44609e-05
202	232.067	5.947	5.972	1.449644e-05
203	233.227	5.947	5.972	1.409341e-05
204	234.37	5.974	5.999	1.485211e-05
205	235.523	5.974	5.999	1.436608e-05
206	236.669	5.994	6.024	1.440163e-05
207	237.826	5.994	6.024	1.502992e-05
208	238.976	6.015	6.048	1.411714e-05
209	240.124	6.015	6.048	1.427124e-05
210	241.274	6.039	6.074	1.402229e-05
211	242.422	6.039	6.074	1.512474e-05
212	243.586	6.053	6.089	1.425933e-05
213	244.734	6.053	6.089	1.398676e-05
214	245.879	6.063	6.097	1.476908e-05
215	247.024	6.063	6.097	1.421198e-05
216	248.176	6.082	6.114	1.422378e-05
217	249.324	6.082	6.114	1.455573e-05
218	250.475	6.108	6.14	1.488764e-05
219	251.621	6.108	6.14	1.455572e-05
220	252.768	6.135	6.168	1.456758e-05
221	253.917	6.135	6.168	1.480461e-05
