3.963000000000000078e+00 5.006453999999999765e-02
3.963000000000000078e+00 4.991821999999999926e-02
3.907999999999999918e+00 4.984536999999999995e-02
3.907999999999999918e+00 4.978035000000000099e-02
3.865000000000000213e+00 4.971127999999999658e-02
3.865000000000000213e+00 4.967751000000000111e-02
3.826000000000000068e+00 4.959713000000000316e-02
3.826000000000000068e+00 4.953355999999999731e-02
3.785000000000000142e+00 4.950449999999999989e-02
3.785000000000000142e+00 4.954305999999999988e-02
3.750999999999999890e+00 4.953422999999999854e-02
3.750999999999999890e+00 4.965921000000000224e-02
3.794000000000000039e+00 4.974532000000000259e-02
3.794000000000000039e+00 4.981693999999999706e-02
3.870999999999999996e+00 5.000558000000000086e-02
3.870999999999999996e+00 5.020042999999999728e-02
3.974000000000000199e+00 5.045183000000000306e-02
3.974000000000000199e+00 5.067318999999999990e-02
4.104000000000000092e+00 5.090950000000000336e-02
4.104000000000000092e+00 5.131870000000000182e-02
4.246999999999999886e+00 5.159064000000000011e-02
4.246999999999999886e+00 5.191805000000000031e-02
4.416999999999999815e+00 5.222083999999999754e-02
4.416999999999999815e+00 5.240191999999999767e-02
4.594000000000000306e+00 5.271863000000000243e-02
4.594000000000000306e+00 5.293159000000000058e-02
4.770999999999999908e+00 5.330196999999999713e-02
4.770999999999999908e+00 5.365314000000000194e-02
4.972999999999999865e+00 5.389590999999999826e-02
4.972999999999999865e+00 5.428717999999999738e-02
5.153999999999999915e+00 5.454273999999999928e-02
5.153999999999999915e+00 5.491155999999999815e-02
5.317999999999999616e+00 5.532849000000000100e-02
5.317999999999999616e+00 5.570619999999999739e-02
5.506999999999999673e+00 5.660574000000000161e-02
5.506999999999999673e+00 5.778579999999999828e-02
5.668999999999999595e+00 5.923015999999999698e-02
5.668999999999999595e+00 5.982677000000000134e-02
5.825999999999999623e+00 6.018223999999999796e-02
5.825999999999999623e+00 6.071645999999999987e-02
5.980999999999999872e+00 6.125019000000000297e-02
5.980999999999999872e+00 6.169311000000000239e-02
6.126999999999999780e+00 6.247036999999999729e-02
