4.112000000000000099e+00 9.056801999999999214e-03
4.112000000000000099e+00 9.216168999999999750e-03
4.104000000000000092e+00 8.975765999999999606e-03
4.104000000000000092e+00 7.059155999999999591e-03
4.065000000000000391e+00 7.719034999999999959e-03
4.065000000000000391e+00 6.158768000000000228e-03
4.054000000000000270e+00 6.115151999999999567e-03
4.054000000000000270e+00 6.194325999999999999e-03
4.043999999999999595e+00 4.969773000000000246e-03
4.043999999999999595e+00 5.477832999999999661e-03
4.022999999999999687e+00 4.713062999999999975e-03
4.022999999999999687e+00 4.667408999999999968e-03
4.004999999999999893e+00 4.782734999999999764e-03
4.004999999999999893e+00 4.329572000000000281e-03
3.991000000000000103e+00 4.535619999999999756e-03
3.991000000000000103e+00 4.489197000000000326e-03
3.986000000000000210e+00 4.161798999999999880e-03
3.986000000000000210e+00 4.237671000000000146e-03
3.983999999999999986e+00 4.198374999999999850e-03
3.983999999999999986e+00 4.121490999999999696e-03
3.967000000000000082e+00 4.181063999999999961e-03
3.959999999999999964e+00 4.117161000000000258e-03
3.959999999999999964e+00 4.097136999999999828e-03
3.947000000000000064e+00 4.130067000000000287e-03
3.947000000000000064e+00 4.056993000000000058e-03
3.943000000000000060e+00 4.077876999999999717e-03
3.943000000000000060e+00 4.074307999999999576e-03
3.943999999999999950e+00 4.045710000000000105e-03
3.943999999999999950e+00 4.077365999999999803e-03
3.942000000000000171e+00 4.032810000000000387e-03
3.942000000000000171e+00 4.037052999999999649e-03
3.927999999999999936e+00 4.049615000000000332e-03
3.927999999999999936e+00 4.004294999999999730e-03
3.910000000000000142e+00 4.020504999999999739e-03
3.910000000000000142e+00 3.993433999999999699e-03
3.896999999999999797e+00 3.986138999999999655e-03
3.896999999999999797e+00 3.996828000000000013e-03
3.891000000000000014e+00 3.968908999999999632e-03
3.891000000000000014e+00 3.983165000000000316e-03
3.887000000000000011e+00 3.964498000000000327e-03
3.887000000000000011e+00 3.963649999999999986e-03
3.873000000000000220e+00 3.969501999999999753e-03
3.873000000000000220e+00 3.945317000000000268e-03
3.854000000000000092e+00 3.951002000000000333e-03
3.854000000000000092e+00 3.946250999999999579e-03
3.858999999999999986e+00 3.940734999999999898e-03
3.858999999999999986e+00 3.945653999999999828e-03
3.834000000000000075e+00 3.928766999999999676e-03
3.834000000000000075e+00 3.936155999999999683e-03
3.830000000000000071e+00 3.930555999999999980e-03
3.830000000000000071e+00 3.926225999999999675e-03
3.821000000000000174e+00 3.930130999999999902e-03
3.821000000000000174e+00 3.917142999999999667e-03
3.806000000000000050e+00 3.921558999999999809e-03
3.806000000000000050e+00 3.920370000000000278e-03
3.794000000000000039e+00 3.914009000000000411e-03
3.794000000000000039e+00 3.918330000000000250e-03
3.790999999999999925e+00 3.909338000000000049e-03
3.790999999999999925e+00 3.914090000000000277e-03
3.791999999999999815e+00 3.916806000000000107e-03
3.791999999999999815e+00 3.907469999999999694e-03
3.778999999999999915e+00 3.913411999999999794e-03
3.778999999999999915e+00 3.907724999999999914e-03
3.778999999999999915e+00 3.906535000000000042e-03
3.778999999999999915e+00 3.912391999999999780e-03
3.778999999999999915e+00 3.902548000000000041e-03
3.778999999999999915e+00 3.908573000000000255e-03
3.770999999999999908e+00 3.905347999999999892e-03
3.770999999999999908e+00 3.904245000000000198e-03
