# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.089	4.041	4.109	0.002926877
1	1.295	3.99	4.038	0.002923482
2	2.471	3.99	4.038	0.002922799
3	3.631	3.946	3.984	0.002921528
4	4.791	3.946	3.984	0.002919317
5	5.956	4.129	4.169	0.002919405
6	7.131	4.129	4.169	0.002920083
7	8.295	5.048	5.077	0.002920762
8	9.484	5.048	5.077	0.00292085
9	10.652	5.374	5.454	0.002919066
10	11.813	5.374	5.454	0.002919657
11	12.98	5.619	5.691	0.002920595
12	14.281	5.832	5.86	0.00292
13	15.464	5.832	5.86	0.002920253
14	16.628	5.964	5.99	0.002918044
15	17.793	5.964	5.99	0.002917535
16	18.96	6.07	6.099	0.002915585
17	20.107	6.07	6.099	0.002915588
18	21.259	6.173	6.196	0.002916181
19	22.407	6.173	6.196	0.002917623
20	23.584	6.257	6.28	0.002917112
21	24.73	6.257	6.28	0.002916945
22	25.889	6.327	6.352	0.002917114
23	27.073	6.327	6.352	0.002916857
24	28.217	6.512	6.538	0.002915159
25	29.396	6.512	6.538	0.002915414
26	30.546	6.641	6.663	0.00291533
27	31.707	6.641	6.663	0.002915161
28	32.855	6.89	6.871	0.002915418
29	34.018	6.89	6.871	0.00291482
30	35.188	7.011	7.01	0.002915161
31	36.369	7.011	7.01	0.002913124
32	37.547	7.231	7.225	0.002914908
33	38.7	7.231	7.225	0.00291338
34	39.86	7.398	7.413	0.002912784
35	41.052	7.398	7.413	0.002912699
36	42.244	7.574	7.553	0.002914143
37	43.403	7.574	7.553	0.002913803
38	44.566	7.775	7.754	0.00291338
39	45.731	7.775	7.754	0.00291304
40	46.894	7.891	7.872	0.002913975
41	48.055	7.891	7.872	0.002915163
42	49.222	7.967	7.968	0.00291134
43	50.385	7.967	7.968	0.002913634
44	51.548	8.026	8.049	0.00291338
45	52.719	8.026	8.049	0.00291236
46	53.919	8.082	8.111	0.002913208
47	55.083	8.082	8.111	0.00291236
48	56.23	8.206	8.193	0.002913039
49	57.412	8.206	8.193	0.002912701
50	58.574	8.345	8.327	0.002912445
51	59.727	8.345	8.327	0.002913378
52	60.883	8.418	8.405	0.002913803
53	62.036	8.418	8.405	0.00291304
54	63.199	8.462	8.47	0.002911937
55	64.348	8.462	8.47	0.002912614
56	65.509	8.497	8.526	0.002913124
57	66.668	8.497	8.526	0.002912191
58	67.831	8.55	8.565	0.002914146
59	68.997	8.55	8.565	0.00291117
60	70.177	8.651	8.625	0.002911257
61	71.327	8.651	8.625	0.00291338
62	72.491	8.751	8.741	0.002910405
63	73.64	8.751	8.741	0.002912448
64	74.795	8.82	8.809	0.002912532
65	75.945	8.82	8.809	0.002911508
66	77.11	8.875	8.855	0.002912019
67	78.26	8.875	8.855	0.00291185
68	79.443	8.91	8.915	0.002912445
69	80.607	8.91	8.915	0.002912445
70	81.761	8.928	8.946	0.002912274
71	82.91	8.928	8.946	0.002913377
72	84.067	8.938	8.958	0.002912359
73	85.222	8.938	8.958	0.002913127
74	86.377	8.955	8.964	0.002912528
75	87.612	8.978	8.979	0.002911679
76	88.771	8.978	8.979	0.002911172
77	89.936	9.008	9.001	0.002912021
78	91.114	9.008	9.001	0.00291253
79	92.282	9.07	9.072	0.002911849
80	93.476	9.07	9.072	0.002911852
81	94.639	9.096	9.114	0.002910405
82	95.79	9.096	9.114	0.002911086
83	96.943	9.111	9.129	0.002910747
84	98.094	9.111	9.129	0.002910749
85	99.255	9.175	9.138	0.002913294
86	100.416	9.175	9.138	0.002911681
87	101.577	9.222	9.246	0.002910916
88	102.728	9.222	9.246	0.002913463
89	103.883	9.252	9.269	0.002909558
90	105.057	9.252	9.269	0.002911258
91	106.22	9.288	9.292	0.002910323
92	107.373	9.288	9.292	0.002908539
93	108.525	9.331	9.339	0.002909389
94	109.676	9.331	9.339	0.00290939
95	110.84	9.395	9.369	0.00290956
96	112.001	9.395	9.369	0.002909643
97	113.163	9.457	9.481	0.002909559
98	114.329	9.457	9.481	0.002909898
99	115.493	9.52	9.536	0.002909983
100	116.657	9.52	9.536	0.002911764
101	117.824	9.555	9.568	0.002908964
102	119.008	9.555	9.568	0.002911681
103	120.191	9.594	9.6	0.002910664
104	121.373	9.594	9.6	0.002911343
105	122.54	9.668	9.677	0.002911256
106	123.706	9.668	9.677	0.002913633
107	124.861	9.723	9.696	0.002910408
108	126.046	9.723	9.696	0.002911766
109	127.235	9.773	9.799	0.002913462
